Region;Profession ID;Professio;2016;2017;2018;2019;Growth;Growth 
Auckland;441;Defence Force Members, Fire Fighters and Police;869;9058;9395;97;1,01;3.7
Auckland;442;Prison and Security Officers;5919;621;6485;674;821;4.4
Auckland;451;Personal Service and Travel Workers;6844;6734;6648;653;-314;-1.6
Auckland;452;Sports and Fitness Workers;6658;6918;7201;7456;798;3.8
Auckland;511;Contract, Program and Project Administrators;7967;8348;8747;9129;1,163;4.6
Auckland;512;Office and Practice Managers;13788;14616;15499;16364;2,577;5.9
Auckland;521;Personal Assistants and Secretaries;5748;5314;4874;4409;-1,338;-8.5
Auckland;531;General Clerks;14047;13348;12635;11852;-2,195;-5.5
Auckland;532;Keyboard Operators;1075;974;865;758;-316;-11.0
Auckland;541;Call or Contact Centre Information Clerks;255;2486;2426;2357;-193;-2.6
Auckland;542;Receptionists;9405;9425;9492;9602;197;0.7
Auckland;551;Accounting Clerks and Bookkeepers;11802;11942;12104;12226;425;1.2
Auckland;552;Financial and Insurance Clerks;4744;4565;4399;4288;-456;-3.3
Auckland;561;Clerical and Office Support Workers;61;6142;6177;6191;91;0.5
Auckland;591;Logistics Clerks;9972;10136;10337;10504;533;1.7
Auckland;599;Miscellaneous Clerical and Administrative Workers;866;8851;905;9223;562;2.1
Auckland;611;Insurance Agents and Sales Representatives;26001;26848;27835;28748;2,747;3.4
Auckland;612;Real Estate Sales Agents;658;6835;7148;7467;888;4.3
Auckland;621;Sales Assistants and Salespersons;37457;37662;38123;38462;1,005;0.9
Auckland;631;Checkout Operators and Office Cashiers;5628;5746;5889;6018;389;2.3
Auckland;639;Miscellaneous Sales Support Workers;3432;3373;3329;327;-161;-1.6
Auckland;711;Machine Operators;8188;8298;8398;8456;268;1.1
Auckland;712;Stationary Plant Operators;2414;2272;2111;2022;-392;-5.7
Auckland;721;Mobile Plant Operators;3863;3902;3935;3948;85;0.7
Auckland;731;Automobile, Bus and Rail Drivers;5526;5732;5972;6195;669;3.9
Auckland;732;Delivery Drivers;1957;2056;2127;2192;235;3.9
Auckland;733;Truck Drivers;6774;6853;6925;6972;198;1.0
Auckland;741;Storepersons;10183;10351;10557;10726;543;1.7
Auckland;811;Cleaners and Laundry Workers;11768;11506;11277;11099;-668;-1.9
Auckland;821;Construction and Mining Labourers;6016;6329;6604;6853;837;4.4
Auckland;831;Food Process Workers;3962;4011;4079;4139;177;1.5
Auckland;832;Packers and Product Assemblers;6207;6249;6299;632;114;0.6
Auckland;839;Miscellaneous Factory Process Workers;218;2251;2309;2359;179;2.7
Auckland;841;Farm, Forestry and Garden Workers;628;6275;6287;6257;-23;-0.1
Auckland;851;Food Preparation Assistants;5537;5674;5853;602;483;2.8
Auckland;891;Freight Handlers and Shelf Fillers;1635;1664;1703;1737;102;2.0
Auckland;899;Miscellaneous Labourers;15861;16271;16685;17032;1,171;2.4
Waikato;111;Chief Executives, General Managers and Legislators;6282;6491;6717;692;637;3.3
Waikato;121;Farmers and Farm Managers;10862;10752;10666;10492;-370;-1.1
Waikato;131;Advertising, Public Relations and Sales Managers;2383;2507;2641;2766;383;5.1
Waikato;132;Business Administration Managers;501;5248;5503;5743;733;4.7
Waikato;133;Construction, Distribution and Production Managers;4528;4661;4763;4831;303;2.2
Waikato;134;Education, Health and Welfare Services Managers;1299;1364;1429;149;190;4.7
Waikato;135;ICT Managers;358;376;396;416;58;5.1
Waikato;139;Miscellaneous Specialist Managers;720;757;796;834;114;5.0
Waikato;141;Accommodation and Hospitality Managers;2215;2275;2353;2424;209;3.0
Waikato;142;Retail Managers;2976;3037;3123;32;224;2.5
Waikato;149;Miscellaneous Hospitality, Retail and Service Managers;1491;1551;1617;168;189;4.0
Waikato;211;Arts Professionals;637;674;699;722;85;4.3
Waikato;212;Media Professionals;464;479;496;512;48;3.3
Waikato;221;Accountants, Auditors and Company Secretaries;2477;2574;2678;2779;301;3.9
Waikato;222;Financial Brokers and Dealers, and Investment Advisers;643;644;648;649;6;0.3
Waikato;223;Human Resource and Training Professionals;791;817;846;873;82;3.3
Waikato;224;Information and Organisation Professionals;2067;2135;2209;2277;209;3.3
Waikato;225;Sales, Marketing and Public Relations Professionals;1094;1139;1189;1235;141;4.1
Waikato;231;Air and Marine Transport Professionals;413;421;431;438;25;2.0
Waikato;232;Architects, Designers, Planners and Surveyors;1413;1471;1533;1592;178;4.0
Waikato;233;Engineering Professionals;2061;214;2218;2285;224;3.5
Waikato;234;Natural and Physical Science Professionals;1714;1789;1874;1957;244;4.5
Waikato;241;School Teachers;8522;8778;9033;9243;722;2.7
Waikato;242;Tertiary Education Teachers;1256;1273;1288;1294;38;1.0
Waikato;249;Miscellaneous Education Professionals;784;804;823;837;54;2.2
Waikato;251;Health Diagnostic and Promotion Professionals;992;104;1097;1159;167;5.3
Waikato;252;Health Therapy Professionals;915;955;1003;1062;147;5.1
Waikato;253;Medical Practitioners;1106;115;1206;1276;169;4.9
Waikato;254;Midwifery and Nursing Professionals;392;4045;4212;4428;508;4.1
Waikato;261;Business and Systems Analysts, and Programmers;168;1766;1859;1949;269;5.1
Waikato;262;Database and Systems Administrators, and ICT Security Specialists;475;493;513;531;56;3.8
Waikato;263;ICT Network and Support Professionals;404;420;438;455;51;4.1
Waikato;271;Legal Professionals;1085;1138;1195;1251;166;4.8
Waikato;272;Social and Welfare Professionals;2439;2525;2622;2724;285;3.8
Waikato;311;Agricultural, Medical and Science Technicians;1784;1825;1872;1917;133;2.4
Waikato;312;Building and Engineering Technicians;1578;1638;1695;1744;166;3.4
Waikato;313;ICT and Telecommunications Technicians;512;512;514;514;2;0.2
Waikato;321;Automotive Electricians and Mechanics;1923;1904;1892;1867;-56;-1.0
Waikato;322;Fabrication Engineering Trades Workers;1504;1574;1641;1694;190;4.1
Waikato;323;Mechanical Engineering Trades Workers;1863;1866;1865;185;-13;-0.2
Waikato;324;Panelbeaters, and Vehicle Body Builders, Trimmers and Painters;501;497;489;478;-23;-1.6
Waikato;331;Bricklayers, Carpenters and Joiners;109;1107;1112;1109;19;0.6
Waikato;332;Floor Finishers and Painting Trades Workers;883;931;971;1004;122;4.4
Waikato;333;Glaziers, Plasterers and Tilers;836;898;952;999;163;6.1
Waikato;334;Plumbers;840;896;944;985;146;5.5
Waikato;341;Electricians;1503;1595;1675;1745;243;5.1
Waikato;342;Electronics and Telecommunications Trades Workers;820;844;861;872;52;2.1
Waikato;351;Food Trades Workers;2779;2887;3019;3146;367;4.2
Waikato;361;Animal Attendants and Trainers, and Shearers;797;828;863;896;99;4.0
Waikato;362;Horticultural Trades Workers;1421;141;1398;1395;-26;-0.6
Waikato;391;Hairdressers;696;698;706;710;15;0.7
Waikato;392;Printing Trades Workers;216;213;209;203;-13;-2.0
Waikato;393;Textile, Clothing and Footwear Trades Workers;136;137;140;141;6;1.3
Waikato;394;Wood Trades Workers;233;233;232;230;-3;-0.4
Waikato;399;Miscellaneous Technicians and Trades Workers;930;960;992;1021;91;3.2
