region;interest_area;type;year_2006;year_2013
Canterbury;Languages Spoken;Samoan;4509;4476
Canterbury;Languages Spoken;Hindi;1368;2433
Canterbury;Languages Spoken;Northern Chinese;342;4089
Canterbury;Languages Spoken;French;7155;6159
Canterbury;Languages Spoken;Yue;3222;3075
Canterbury;Languages Spoken;Sinitic not further defined;4527;4101
Canterbury;Languages Spoken;German;5265;4755
Canterbury;Languages Spoken;Tongan;600;885
Canterbury;Languages Spoken;Tagalog;813;3348
Canterbury;Languages Spoken;Afrikaans;1398;2226
Canterbury;Languages Spoken;Spanish;2664;3237
Canterbury;Languages Spoken;Korean;4167;297
Canterbury;Languages Spoken;New Zealand sign language;3156;2766
Canterbury;Housing;Avg Rent;200;280
Auckland;Housing;Avg Rent;280;350
Wellington;Housing;Avg Rent;210;300
Auckland;Work Transport;Worked at home;4095;44253
Auckland;Work Transport;Did not go to work today;59958;61827
Auckland;Work Transport;Drove a private car, truck or van;325461;340299
Auckland;Work Transport;Drove a company car, truck or van;68907;65484
Auckland;Work Transport;Passenger in a car, truck, van or company bus;28674;2451
Auckland;Work Transport;Public bus;28569;33933
Auckland;Work Transport;Train;5652;9459
Auckland;Work Transport;Motor cycle or power cycle;3126;5496
Auckland;Work Transport;Bicycle;5019;6342
Auckland;Work Transport;Walked or jogged;2406;26529
Auckland;Work Transport;Other;6201;7986
Wellington;Work Transport;Worked at home;13422;14514
Wellington;Work Transport;Did not go to work today;23574;24384
Wellington;Work Transport;Drove a private car, truck or van;92208;91548
Wellington;Work Transport;Drove a company car, truck or van;21117;2004
Wellington;Work Transport;Passenger in a car, truck, van or company bus;12411;10554
Wellington;Work Transport;Public bus;17703;18003
Wellington;Work Transport;Train;13629;14646
Wellington;Work Transport;Motor cycle or power cycle;1917;3033
Wellington;Work Transport;Bicycle;3858;5742
Wellington;Work Transport;Walked or jogged;20649;23001
Wellington;Work Transport;Other;2073;2523
Canterbury;Work Transport;Worked at home;22239;23655
Canterbury;Work Transport;Did not go to work today;30402;30438
Canterbury;Work Transport;Drove a private car, truck or van;132351;13722
Canterbury;Work Transport;Drove a company car, truck or van;2769;34251
Canterbury;Work Transport;Passenger in a car, truck, van or company bus;957;8811
Canterbury;Work Transport;Public bus;756;5619
Canterbury;Work Transport;Train;75;72
Canterbury;Work Transport;Motor cycle or power cycle;2628;3765
Canterbury;Work Transport;Bicycle;11043;11907
Canterbury;Work Transport;Walked or jogged;12753;11193
Canterbury;Work Transport;Other;1725;204
Auckland;Household Income;$1-$5,000;4698;4833
Auckland;Household Income;$5,001-$10,000;6411;531
Auckland;Household Income;$10,001-$15,000;15258;8826
Auckland;Household Income;$15,001-$20,000;18633;14889
Auckland;Household Income;$20,001-$25,000;21648;16137
Auckland;Household Income;$25,001-$30,000;1245;17157
Auckland;Household Income;$30,001-$35,000;15654;17232
Auckland;Household Income;$35,001-$40,000;15996;13524
Auckland;Household Income;$40,001-$50,000;27468;26421
Auckland;Household Income;$50,001-$70,000;53217;51525
Auckland;Household Income;$70,001-$100,000;60621;69201
Auckland;Household Income;$100,001 or More;99285;141822
Auckland;Household Income;Median income ($);63400;76500
Wellington;Household Income;$1-$5,000;1401;1266
Wellington;Household Income;$5,001-$10,000;2658;174
Wellington;Household Income;$10,001-$15,000;7203;3945
Wellington;Household Income;$15,001-$20,000;8508;6378
Wellington;Household Income;$20,001-$25,000;972;7464
Wellington;Household Income;$25,001-$30,000;5667;6852
Wellington;Household Income;$30,001-$35,000;6678;7017
Wellington;Household Income;$35,001-$40,000;6807;5595
Wellington;Household Income;$40,001-$50,000;11727;10611
Wellington;Household Income;$50,001-$70,000;21912;20394
Wellington;Household Income;$70,001-$100,000;23556;26925
Wellington;Household Income;$100,001 or More;36948;53292
Wellington;Household Income;Median income ($);59700;74300
Canterbury;Household Income;$1-$5,000;1695;1218
Canterbury;Household Income;$5,001-$10,000;3549;1875
Canterbury;Household Income;$10,001-$15,000;10809;4827
Canterbury;Household Income;$15,001-$20,000;1278;8355
Canterbury;Household Income;$20,001-$25,000;16008;9915
Canterbury;Household Income;$25,001-$30,000;8019;9429
Canterbury;Household Income;$30,001-$35,000;9963;10341
Canterbury;Household Income;$35,001-$40,000;9747;726
Canterbury;Household Income;$40,001-$50,000;16302;14319
Canterbury;Household Income;$50,001-$70,000;29958;27048
Canterbury;Household Income;$70,001-$100,000;26898;34731
Canterbury;Household Income;$100,001 or More;26118;47796
Canterbury;Household Income;Median income ($);47900;65000
