region;industry_name;year_2016;year_2017;year_2018;year_2019;growth;growth_percentage
Gisborne;Finance and insurance;227;211;195;178;-49;-7.8
Gisborne;Property services;309;307;308;308;-1;-0.1
Gisborne;Business services;1763;1785;1811;1836;73;1.4
Gisborne;Government admin. and defence;1349;1354;1351;1344;-6;-0.1
Gisborne;Education;2083;2099;2109;2103;21;0.3
Gisborne;Health and community services;2181;2217;2275;2359;178;2.7
Gisborne;Cultural and recreational services;419;413;412;408;-11;-0.9
Gisborne;Personal and other community services;679;681;689;693;15;0.7
Hawkes Bay;Agriculture;12212;122;12219;12137;-75;-0.2
Hawkes Bay;Fishing;139;149;160;172;33;7.3
Hawkes Bay;Forestry and logging;467;475;493;508;41;2.8
Hawkes Bay;Mining and quarrying;90;85;81;75;-15;-5.8
Hawkes Bay;Food, beverage and tobacco manufacturing;5678;569;5722;5745;67;0.4
Hawkes Bay;Textiles and apparel manufacturing;645;642;639;631;-15;-0.8
Hawkes Bay;Wood and paper products manufacturing;101;1004;996;987;-23;-0.8
Hawkes Bay;Printing, publishing and recorded media;226;234;242;250;24;3.4
Hawkes Bay;Chemicals manufacturing;431;449;467;480;48;3.6
Hawkes Bay;Non-metallic mineral products manufacturing;168;167;166;166;-2;-0.4
Hawkes Bay;Metal product manufacturing;818;840;860;870;52;2.1
Hawkes Bay;Machinery and equipment manufacturing;1027;1047;1061;1071;44;1.4
Hawkes Bay;Furniture and other manufacturing;398;404;409;412;14;1.1
Hawkes Bay;Electricity, gas and water supply;421;413;403;391;-30;-2.4
Hawkes Bay;Construction;5516;5721;5832;5884;367;2.2
Hawkes Bay;Wholesale trade;2732;2734;2741;2738;6;0.1
Hawkes Bay;Retail trade (including motor vehicle repairs);7145;7159;7236;7301;155;0.7
Hawkes Bay;Accommodation, cafes and restaurants;4154;4171;4215;4237;83;0.7
Hawkes Bay;Transport and storage;2674;267;268;2676;1;0.0
Hawkes Bay;Communication services;659;661;669;678;19;1.0
Hawkes Bay;Finance and insurance;1813;1883;1964;2044;231;4.1
Hawkes Bay;Property services;1458;1457;1468;1479;20;0.5
Hawkes Bay;Business services;7331;7573;7757;7934;602;2.7
Hawkes Bay;Government admin. and defence;5461;5466;5438;5391;-70;-0.4
Hawkes Bay;Education;6102;6146;6173;6152;50;0.3
Hawkes Bay;Health and community services;7935;8145;8434;8832;897;3.6
Hawkes Bay;Cultural and recreational services;1492;1493;1509;1515;23;0.5
Hawkes Bay;Personal and other community services;2567;2599;2654;2693;126;1.6
Taranaki;Agriculture;585;5878;5922;5911;61;0.3
Taranaki;Fishing;28;26;23;19;-9;-12.6
Taranaki;Forestry and logging;53;52;51;51;-2;-1.5
Taranaki;Mining and quarrying;1244;1257;1277;1265;22;0.6
Taranaki;Food, beverage and tobacco manufacturing;4008;4114;4236;4356;348;2.8
Taranaki;Textiles and apparel manufacturing;58;60;59;56;-2;-0.9
Taranaki;Wood and paper products manufacturing;610;621;629;636;26;1.4
